PlayerID,TimeStamp,datenum of Timestamp,Low Activity ,Medium Activity,High Activity,percent{( Med+High)/sum}
'040077973','2018-08-17 21:10:00',737289.88194444,140,16,0,1.025641025641
'040077973','2018-08-17 21:15:00',737289.88541667,116,19,0,1.4074074074074
'040077973','2018-08-17 21:30:00',737289.89583333,99,25,5,2.3255813953488
'040078087','2018-08-17 20:10:00',737289.84027778,124,22,6,1.8421052631579
'040078087','2018-08-17 20:35:00',737289.85763889,122,15,1,1.1594202898551
'040078087','2018-08-17 20:50:00',737289.86805556,133,22,0,1.4193548387097
'040079459','2018-08-17 20:40:00',737289.86111111,137,16,0,1.0457516339869
'040079459','2018-08-17 20:55:00',737289.87152778,135,15,2,1.1184210526316
'040079459','2018-08-17 21:50:00',737289.90972222,123,12,5,1.2142857142857
'040078087','2018-08-17 20:55:00',737289.87152778,128,22,3,1.6339869281046
'040078087','2018-08-17 21:00:00',737289.875,121,28,3,2.0394736842105
'040078087','2018-08-17 21:05:00',737289.87847222,124,28,0,1.8421052631579
'040078095','2018-08-17 22:40:00',737289.94444444,101,50,2,3.3986928104575
'040078095','2018-08-17 22:45:00',737289.94791667,123,30,1,2.012987012987
'040078095','2018-08-17 22:50:00',737289.95138889,91,63,2,4.1666666666667
'040079459','2018-08-17 21:55:00',737289.91319444,128,16,0,1.1111111111111
'040079459','2018-08-17 22:30:00',737289.9375,120,31,1,2.1052631578947
'040079459','2018-08-17 22:35:00',737289.94097222,102,48,2,3.2894736842105
'040078087','2018-08-17 21:15:00',737289.88541667,130,22,0,1.4473684210526
'040078087','2018-08-17 21:20:00',737289.88888889,116,31,6,2.4183006535948
'040078087','2018-08-17 21:25:00',737289.89236111,115,32,6,2.4836601307189
'040078065','2018-08-17 11:50:00',737289.49305556,114,21,13,2.2972972972973
'040078065','2018-08-17 20:35:00',737289.85763889,106,46,2,3.1168831168831
'040078065','2018-08-17 20:40:00',737289.86111111,114,37,1,2.5
'040078065','2018-08-17 20:45:00',737289.86458333,60,72,20,6.0526315789474
'040078065','2018-08-17 20:50:00',737289.86805556,60,70,24,6.1038961038961
'040078065','2018-08-17 20:55:00',737289.87152778,66,72,15,5.6862745098039
'040078065','2018-08-17 21:00:00',737289.875,48,72,33,6.8627450980392
'040078065','2018-08-17 21:05:00',737289.87847222,74,60,23,5.2866242038217
'040078065','2018-08-17 21:10:00',737289.88194444,79,42,31,4.8026315789474
'040078043','2018-08-17 23:05:00',737289.96180556,66,83,4,5.6862745098039
'040078043','2018-08-17 23:10:00',737289.96527778,77,69,8,5
'040078043','2018-08-17 23:15:00',737289.96875,76,78,1,5.0967741935484
'040078051','2018-08-17 23:30:00',737289.97916667,11,20,8,7.1794871794872
'040078051','2018-08-17 23:35:00',737289.98263889,55,77,19,6.3576158940397
'040078051','2018-08-17 23:40:00',737289.98611111,57,61,25,6.013986013986
'040078043','2018-08-17 23:30:00',737289.97916667,13,20,6,6.6666666666667
'040078043','2018-08-17 23:35:00',737289.98263889,61,59,11,5.3435114503817
'040078043','2018-08-17 23:40:00',737289.98611111,84,61,2,4.2857142857143
'040078079','2018-08-17 23:30:00',737289.97916667,26,35,5,6.0606060606061
'040078079','2018-08-17 23:35:00',737289.98263889,42,80,28,7.2
'040078079','2018-08-17 23:40:00',737289.98611111,60,72,18,6
'040077950','2018-08-17 23:35:00',737289.98263889,65,38,2,3.8095238095238
'040077950','2018-08-17 23:40:00',737289.98611111,90,57,4,4.0397350993377
'040077950','2018-08-17 23:45:00',737289.98958333,100,45,4,3.2885906040268
'040078095','2018-08-17 23:35:00',737289.98263889,105,46,2,3.1372549019608
'040078095','2018-08-17 23:40:00',737289.98611111,85,49,3,3.7956204379562
'040078095','2018-08-17 23:45:00',737289.98958333,81,54,16,4.635761589404
'040078045','2018-08-17 23:35:00',737289.98263889,28,41,45,7.5438596491228
'040078045','2018-08-17 23:40:00',737289.98611111,10,29,111,9.3333333333333
