"PlayerID","TimeStamp","datenum of timestamp","#head impacts"
"'040077964'","'2018-09-24 21:10:00'","737327.88194444","1"
"'040077939'","'2018-09-24 20:55:00'","737327.87152778","1"
"'040078058'","'2018-09-24 20:20:00'","737327.84722222","1"
"'040078097'","'2018-09-22 01:55:00'","737325.07986111","2"
"'040069137'","'2018-09-22 01:55:00'","737325.07986111","1"
"'040078048'","'2018-09-22 01:55:00'","737325.07986111","1"
"'040078092'","'2018-09-22 01:55:00'","737325.07986111","1"
"'040069137'","'2018-09-22 01:50:00'","737325.07638889","4"
"'040078097'","'2018-09-22 01:50:00'","737325.07638889","7"
"'040078092'","'2018-09-22 01:50:00'","737325.07638889","4"
"'040078048'","'2018-09-22 01:50:00'","737325.07638889","1"
"'040079460'","'2018-09-22 01:50:00'","737325.07638889","1"
"'040079459'","'2018-09-22 01:50:00'","737325.07638889","1"
"'040078060'","'2018-09-22 01:50:00'","737325.07638889","1"
"'040077974'","'2018-09-22 01:45:00'","737325.07291667","2"
"'040078046'","'2018-09-22 01:45:00'","737325.07291667","2"
"'040078078'","'2018-09-22 01:45:00'","737325.07291667","3"
"'040078092'","'2018-09-22 01:40:00'","737325.06944444","2"
"'040078097'","'2018-09-22 01:40:00'","737325.06944444","3"
"'040069137'","'2018-09-22 01:40:00'","737325.06944444","1"
"'040077949'","'2018-09-22 01:40:00'","737325.06944444","1"
"'040082100'","'2018-09-22 01:40:00'","737325.06944444","1"
"'040077960'","'2018-09-22 01:40:00'","737325.06944444","1"
"'040078048'","'2018-09-22 01:35:00'","737325.06597222","2"
"'040078052'","'2018-09-22 01:35:00'","737325.06597222","1"
"'040078078'","'2018-09-22 01:35:00'","737325.06597222","2"
"'040078040'","'2018-09-22 01:35:00'","737325.06597222","2"
"'040078046'","'2018-09-22 01:35:00'","737325.06597222","1"
"'040079460'","'2018-09-22 01:35:00'","737325.06597222","1"
"'040077960'","'2018-09-22 01:35:00'","737325.06597222","5"
"'040078051'","'2018-09-22 01:30:00'","737325.0625","1"
"'040078043'","'2018-09-22 01:30:00'","737325.0625","1"
"'040078052'","'2018-09-22 01:30:00'","737325.0625","1"
"'040077949'","'2018-09-22 01:30:00'","737325.0625","1"
"'040078048'","'2018-09-22 01:30:00'","737325.0625","2"
"'040078095'","'2018-09-22 01:25:00'","737325.05902778","2"
"'040078040'","'2018-09-22 01:25:00'","737325.05902778","4"
"'040077949'","'2018-09-22 01:25:00'","737325.05902778","2"
"'040078052'","'2018-09-22 01:25:00'","737325.05902778","1"
"'040077960'","'2018-09-22 01:25:00'","737325.05902778","1"
"'040078097'","'2018-09-22 01:20:00'","737325.05555556","3"
"'040077974'","'2018-09-22 01:20:00'","737325.05555556","2"
"'040079459'","'2018-09-22 01:20:00'","737325.05555556","1"
"'040078092'","'2018-09-22 01:20:00'","737325.05555556","5"
"'040078084'","'2018-09-22 01:20:00'","737325.05555556","1"
"'040079459'","'2018-09-22 01:15:00'","737325.05208333","1"
"'040078092'","'2018-09-22 01:15:00'","737325.05208333","2"
"'040078060'","'2018-09-22 01:15:00'","737325.05208333","1"
"'040078097'","'2018-09-22 01:15:00'","737325.05208333","7"
"'040069137'","'2018-09-22 01:15:00'","737325.05208333","3"
"'040056208'","'2018-09-22 01:15:00'","737325.05208333","2"
"'040077974'","'2018-09-22 01:15:00'","737325.05208333","3"
"'040078048'","'2018-09-22 01:10:00'","737325.04861111","2"
"'040078092'","'2018-09-22 01:10:00'","737325.04861111","2"
"'040056208'","'2018-09-22 01:10:00'","737325.04861111","1"
"'040078045'","'2018-09-22 01:10:00'","737325.04861111","1"
"'040069137'","'2018-09-22 01:10:00'","737325.04861111","1"
"'040077950'","'2018-09-22 01:10:00'","737325.04861111","1"
"'040079459'","'2018-09-22 01:10:00'","737325.04861111","1"
"'040078060'","'2018-09-22 01:10:00'","737325.04861111","1"
"'040077974'","'2018-09-22 01:10:00'","737325.04861111","1"
"'040079460'","'2018-09-22 01:05:00'","737325.04513889","3"
"'040078095'","'2018-09-22 01:05:00'","737325.04513889","2"
"'040078048'","'2018-09-22 01:05:00'","737325.04513889","3"
"'040056208'","'2018-09-22 01:05:00'","737325.04513889","1"
"'040078078'","'2018-09-22 01:05:00'","737325.04513889","1"
